ID_T,ID_C_T,RANK_T,PRIZE_T,LATITUDE_T,LONGITUDE_T,TYPE_T_1,TYPE_T_2,TYPE_T_3,TYPE_T_4,TYPE_T_5,TYPE_T_6
383,3,2,2406.941653260699,55.4,12.35,0,0,1,0,0,0
384,3,2,2406.941653260699,43.18,5.24,0,0,1,0,0,0
385,2,2,2406.941653260699,-33.02,-71.34,0,1,0,0,0,0
386,2,2,2406.941653260699,-34.36,-58.27,0,1,0,0,0,0
387,3,2,2406.941653260699,35.09,-90.03,0,0,1,0,0,0
388,3,2,2406.941653260699,51.55,4.29,0,0,1,0,0,0
389,2,2,2406.941653260699,16.51,-99.55,0,1,0,0,0,0
390,1,2,2406.941653260699,25.18,55.18,1,0,0,0,0,0
391,3,2,2406.941653260699,37.2,-121.54,0,0,1,0,0,0
392,1,2,2406.941653260699,26.28,-80.04,1,0,0,0,0,0
393,1,2,2406.941653260699,33.31,-111.54,1,0,0,0,0,0
394,1,3,2406.941653260699,35.4,-117.52,1,0,0,0,0,0
395,1,3,2406.941653260699,25.46,-80.12,1,0,0,0,0,0
396,2,2,2406.941653260699,33.39,-7.35,0,1,0,0,0,0
397,2,2,2406.941653260699,38.42,-9.23,0,1,0,0,0,0
398,2,3,2406.941653260699,43.45,7.25,0,1,0,0,0,0
399,2,2,2406.941653260699,41.23,2.11,0,1,0,0,0,0
400,2,2,2406.941653260699,29.46,-95.22,0,1,0,0,0,0
